name,category_count
Default,443127
Medicine,71617
Literature,1235325
Arts,4099765
Sports,2091663
Technology,536334
Comedy,1205096
TV & Film,111906
Business,7318376
Government,12435
History,5749134
News & Politics,9371922
Religion & Spirituality,4486398
Society & Culture,33324176
Health,10914225
Gaming & Hobbies,303698
Science,663199
Education,6824061
Kids & Family,1163529
Fiction,4308421
