author,likes_count
Podeo | بوديو,56219
Mics | مايكس,28090
مُذكرة تنفَّس,18362
Kerning Cultures Network,11089
Finyal Media,10022
Al Jazeera Podcasts  الجزيرة بودكاست,7759
"Hazem El Seddiq, Ahmed Amer & Sherif Ali",5926
بودكاست أبجورة,5601
ثمانية/ thmanyah,5582
بودكاست صحب,4248
