country,listens_count
United States of America,38477545
,19379907
Belgium,9792232
Germany,4593808
Egypt,4280057
Saudi Arabia,2511341
Ireland,2492419
Algeria,1968784
Iraq,1962376
"France, French Republic",1019051
United Kingdom,991964
